Scenario,Function,Algorithm,SuccessRate%
far,rosenbrock,AdaDisGrem,100.0
far,rosenbrock,CeAdaDisGrem,0.0
far,rosenbrock,EXTRA,0.0
far,rosenbrock,DIGing,0.0
far,rosenbrock,DQM,82.0
far,rosenbrock,ESOM,96.0
far,rosenbrock,SONATA,100.0
far,rosenbrock,NetworkGIANT,100.0
far,styblinski_tang,DisGrem,57.0
far,styblinski_tang,CeDisGrem,67.0
far,styblinski_tang,AdaDisGrem,100.0
far,styblinski_tang,CeAdaDisGrem,100.0
far,styblinski_tang,EXTRA,0.0
far,styblinski_tang,DIGing,0.0
far,styblinski_tang,DQM,0.0
far,styblinski_tang,ESOM,0.0
far,styblinski_tang,SONATA,100.0
far,styblinski_tang,NetworkGIANT,100.0
far,logreg_ncvr,DisGrem,100.0
far,logreg_ncvr,CeDisGrem,91.0
far,logreg_ncvr,AdaDisGrem,100.0
far,logreg_ncvr,CeAdaDisGrem,65.0
far,logreg_ncvr,EXTRA,0.0
far,logreg_ncvr,DIGing,1.0
far,logreg_ncvr,DQM,0.0
far,logreg_ncvr,ESOM,0.0
far,logreg_ncvr,SONATA,98.0
far,logreg_ncvr,NetworkGIANT,98.0
